antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhang
Liquid Milk,Cooking Sauces,0.1423290203327172,0.1377079482439926,0.019408502772643253,0.13636363636363635,0.9902379499694935,-0.00019133459295273686,0.9984434283490613,-0.011363636363636359
Liquid Milk,Biscuits,0.1423290203327172,0.21072088724584104,0.038817005545286505,0.2727272727272727,1.2942583732057416,0.00882530809994499,1.0852587800369686,0.2650862068965517
Liquid Milk,Cereals,0.1423290203327172,0.02356746765249538,0.010166358595194085,0.07142857142857144,3.030812324929972,0.006812024012491416,1.0515427271434663,0.7812500000000001
Liquid Milk,Eggs,0.1423290203327172,0.2795748613678373,0.03789279112754159,0.26623376623376627,0.9522807770741656,-0.0018988250005979174,0.9818183305252484,-0.05520101313600349
Liquid Milk,Sugar,0.1423290203327172,0.1012014787430684,0.012476894639556377,0.08766233766233766,0.8662159758050169,-0.0019270126861668513,0.9851599450075976,-0.15259740259740265
Liquid Milk,Coffee,0.1423290203327172,0.07255083179297597,0.012476894639556377,0.08766233766233766,1.2082885267598644,0.002150805826138356,1.0165635010952434,0.20098978288633468
Liquid Milk,Snack,0.1423290203327172,0.13170055452865065,0.021719038817005546,0.1525974025974026,1.158669400774664,0.0029742279136670997,1.0246598820121668,0.1596661775495232
Liquid Milk,Cultured Milk,0.1423290203327172,0.06284658040665435,0.016173752310536044,0.11363636363636363,1.8081550802139037,0.007228860089995593,1.057301293900185,0.5211206896551724
Liquid Milk,Cooking Oils,0.1423290203327172,0.13585951940850277,0.01432532347504621,0.10064935064935064,0.7408339959360367,-0.0050114288252397655,0.960849343040365,-0.2897140881931756
Liquid Milk,Condensed/Evap Milk,0.1423290203327172,0.10351201478743069,0.014787430683918669,0.1038961038961039,1.0037105751391464,5.4667026557923826e-05,1.0004286211792441,0.004310344827586127
Liquid Milk,Frozen Food,0.1423290203327172,0.08502772643253234,0.018484288354898338,0.12987012987012989,1.5273856578204408,0.006382375350637728,1.0515352994730598,0.4025862068965519
Liquid Milk,Tonic Food Drink,0.1423290203327172,0.09242144177449169,0.013863216266173753,0.09740259740259741,1.0538961038961039,0.0007089630006730883,1.005518690408117,0.05962643678160924
Liquid Milk,Rice,0.1423290203327172,0.16543438077634012,0.02356746765249538,0.16558441558441558,1.0009069143147356,2.1354307249189103e-05,1.0001798082524795,0.0010564570655848405
Liquid Milk,Instant Noodles,0.1423290203327172,0.15711645101663585,0.02356746765249538,0.16558441558441558,1.0538961038961039,0.0012052371011442506,1.010148377769946,0.05962643678160927
Cooking Sauces,Liquid Milk,0.1377079482439926,0.1423290203327172,0.019408502772643253,0.14093959731543623,0.9902379499694935,-0.00019133459295273686,0.9983826247689463,-0.011303426351112675
Cooking Sauces,Biscuits,0.1377079482439926,0.21072088724584104,0.02911275415896488,0.21140939597315436,1.0032673966796186,9.481312418640336e-05,1.0008730876627208,0.003776859082325418
Cooking Sauces,Eggs,0.1377079482439926,0.2795748613678373,0.04436229205175601,0.32214765100671144,1.152276887237229,0.005862611512192459,1.062805402536557,0.15325785994998223
Cooking Sauces,Sugar,0.1377079482439926,0.1012014787430684,0.030036968576709795,0.2181208053691275,2.15531243296252,0.016100720579743814,1.149536306156934,0.6216341000906916
Cooking Sauces,Bouilon,0.1377079482439926,0.03743068391866913,0.01155268022181146,0.08389261744966443,2.2412793106305413,0.006398177538002126,1.0507166893488522,0.6422722400857449
Cooking Sauces,Coffee,0.1377079482439926,0.07255083179297597,0.010628465804066543,0.07718120805369127,1.0638225110075663,0.0006376396144607954,1.0050176440934295,0.06957453749009743
